organism.text,organism.term,sex.text,sex.term,birth_date.value,birth_date.units,breed.text,breed.term,health_status.0.text,health_status.0.term,samples_core.sample_description.value,samples_core.material.text,samples_core.material.term,samples_core.project.value,custom.sample_name.value,describedBy,schema_type,uuid,derivedInto.0
"Sus scrofa","NCBITaxon:9823","intact male","PATO:0002366","2018","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult male, 6 months of age","organism","OBI:0100026","FAANG","Pig_A2","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","26c76dad-3ce6-402e-84a3-f31417c98a55","52031751-a3cf-4509-aa9c-1f562613a2a4"
"Sus scrofa","NCBITaxon:9823","castrated male","PATO:0002367","2017","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 1 year of age","organism","OBI:0100026","FAANG","Pig_B2","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","3744bd91-14a5-42b3-a3ca-28b67ebd7aa8","821e8330-6ccc-4a89-a727-ede0078fbe1f"
"Sus scrofa","NCBITaxon:9823","intact male","PATO:0002366","2017","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 1 year of age","organism","OBI:0100026","FAANG","Pig_C1","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","c8e184fe-42ae-49c2-ab5e-0602b2039cbf","43247af7-1646-48ec-bb96-bd1492f69bbd"
"Sus scrofa","NCBITaxon:9823","intact male","PATO:0002366","2017","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 1 year of age","organism","OBI:0100026","FAANG","Pig_C3","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","af920c01-ef75-4425-92f4-5971aed6cfe0","6e29a366-5708-4aa0-a456-47ec52757ce5"
"Sus scrofa","NCBITaxon:9823","intact male","PATO:0002366","2017","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 1 year of age","organism","OBI:0100026","FAANG","Pig_C2","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","7bd55476-ddd8-41bd-8cc3-4044252ada75","8c50ba1d-8229-46b0-b383-fb12060522b3"
"Sus scrofa","NCBITaxon:9823","intact female","PATO:0002365","2018","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 8 weeks of age post-weaning","organism","OBI:0100026","FAANG","Pig_D1","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","e3c508a5-e42c-4b04-9af9-1c181057fbc5","c3809de4-f0c0-464c-8460-44728854e98f"
"Sus scrofa","NCBITaxon:9823","intact male","PATO:0002366","2018","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult male, 6 months of age","organism","OBI:0100026","FAANG","Pig_A1","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","9b2f8445-61f5-4b63-968e-b3a7a3f10628","df951762-6321-40ee-a101-eac8aa1969e5"
"Sus scrofa","NCBITaxon:9823","castrated male","PATO:0002367","2017","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 1 year of age","organism","OBI:0100026","FAANG","Pig_B3","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","94521daf-1743-43ca-8697-2c5a3ca4b086","de9221bd-92f9-4b48-bacf-24baf47da2f9"
"Sus scrofa","NCBITaxon:9823","intact male","PATO:0002366","2018","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 4 weeks post-weaning","organism","OBI:0100026","FAANG","Pig_D2","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","a57dfd84-6bd5-4f27-ab5e-be69d4b96ba4","32e955b6-ccd9-4db5-93ce-18b2f18fd4d7"
"Sus scrofa","NCBITaxon:9823","castrated male","PATO:0002367","2017","YYYY","Pig crossbreed","LBO:0001040","normal","PATO:0000461","Crossbreed pig, adult, 1 year of age","organism","OBI:0100026","FAANG","Pig_B1","https://raw.githubusercontent.com/ebi-ait/ag2pi-2-ingest/main/json_schema/type/biomaterial/1.0.0/faang_samples_organism","biomaterial","ea202c80-b692-4a32-a6d6-def4f7d52c14","87e5fcad-e20e-46b1-a1a3-b705df334b61"
